GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Avro,org.apache.avro.data,TimeConversions.LocalTimestampNanosConversion,39,0,0,0,9,0,6,0,6,0
Apache Avro,org.apache.avro.data,Json.ObjectWriter,19,0,2,0,6,0,4,0,3,0
Apache Avro,org.apache.avro.data,RecordBuilderBase,195,0,28,0,49,0,25,0,11,0
Apache Avro,org.apache.avro.data,TimeConversions.DateConversion,24,0,0,0,7,0,6,0,6,0
Apache Avro,org.apache.avro.data,TimeConversions.LocalTimestampMicrosConversion,39,0,0,0,9,0,6,0,6,0
Apache Avro,org.apache.avro.data,TimeConversions.TimestampNanosConversion,68,0,4,0,16,0,9,0,7,0
Apache Avro,org.apache.avro.data,TimeConversions.LocalTimestampMillisConversion,39,0,0,0,9,0,6,0,6,0
Apache Avro,org.apache.avro.data,TimeConversions.TimeMillisConversion,30,0,0,0,7,0,7,0,7,0
Apache Avro,org.apache.avro.data,Json.JsonType,45,0,0,0,2,0,1,0,1,0
Apache Avro,org.apache.avro.data,TimeConversions.TimestampMicrosConversion,74,0,4,0,16,0,9,0,7,0
Apache Avro,org.apache.avro.data,TimeConversions.TimestampMillisConversion,24,0,0,0,7,0,7,0,7,0
Apache Avro,org.apache.avro.data,Json,304,0,31,0,76,0,29,0,7,0
Apache Avro,org.apache.avro.data,TimeConversions.TimeMicrosConversion,28,0,0,0,7,0,7,0,7,0
Apache Avro,org.apache.avro.data,Json.ObjectReader,45,0,6,0,11,0,6,0,3,0
Apache Avro,org.apache.avro.data,TimeConversions,3,0,0,0,1,0,1,0,1,0
Apache Avro,org.apache.avro.generic,GenericArray,4,0,0,0,3,0,2,0,2,0
Apache Avro,org.apache.avro.generic,GenericRecordBuilder,290,0,22,0,59,0,31,0,20,0
Apache Avro,org.apache.avro.generic,PrimitivesArrays.FloatArray,232,0,22,0,50,0,25,0,14,0
Apache Avro,org.apache.avro.generic,PrimitivesArrays.PrimitiveArray,4,0,0,0,2,0,1,0,1,0
Apache Avro,org.apache.avro.generic,GenericData.HashCodeCalculator,149,0,23,0,30,0,18,0,4,0
Apache Avro,org.apache.avro.generic,PrimitivesArrays,46,0,8,0,9,0,8,0,2,0
Apache Avro,org.apache.avro.generic,GenericDatumReader.IdentitySchemaKey,33,0,6,0,9,0,6,0,3,0
Apache Avro,org.apache.avro.generic,GenericData.Array,233,0,20,0,46,0,21,0,11,0
Apache Avro,org.apache.avro.generic,GenericData,2308,0,390,0,526,0,288,0,68,0
Apache Avro,org.apache.avro.generic,GenericData.AbstractArray.new Iterator() {...},34,0,2,0,5,0,5,0,4,0
Apache Avro,org.apache.avro.generic,PrimitivesArrays.DoubleArray,232,0,22,0,50,0,25,0,14,0
Apache Avro,org.apache.avro.generic,PrimitivesArrays.LongArray,233,0,22,0,50,0,25,0,14,0
Apache Avro,org.apache.avro.generic,GenericData.Record,182,0,20,0,38,0,21,0,11,0
Apache Avro,org.apache.avro.generic,GenericData.StringType,21,0,0,0,2,0,1,0,1,0
Apache Avro,org.apache.avro.generic,GenericData.Fixed,78,0,6,0,22,0,14,0,11,0
Apache Avro,org.apache.avro.generic,GenericDatumReader,1093,0,131,0,247,0,132,0,51,0
Apache Avro,org.apache.avro.generic,PrimitivesArrays.BooleanArray,599,0,52,0,85,0,42,0,16,0
Apache Avro,org.apache.avro.generic,GenericData.AbstractArray,83,0,10,0,23,0,14,0,9,0
Apache Avro,org.apache.avro.generic,GenericRecord,9,0,2,0,1,0,2,0,1,0
Apache Avro,org.apache.avro.generic,PrimitivesArrays.IntArray,233,0,22,0,50,0,25,0,14,0
Apache Avro,org.apache.avro.generic,GenericDatumReader.ReaderCache,85,0,0,0,18,0,6,0,6,0
Apache Avro,org.apache.avro.generic,GenericDatumWriter,631,0,45,0,172,0,57,0,28,0
Apache Avro,org.apache.avro.generic,GenericData.EnumSymbol,50,0,6,0,13,0,10,0,7,0
Apache Avro,org.apache.avro,Resolver.Skip,7,0,0,0,2,0,1,0,1,0
Apache Avro,org.apache.avro,JsonProperties.new Accessor.JsonPropertiesAccessor() {...},5,3,0,0,2,1,1,1,1,1
Apache Avro,org.apache.avro,Resolver.EnumAdjust,151,0,22,0,25,0,13,0,2,0
Apache Avro,org.apache.avro,JsonProperties.new ConcurrentHashMap() {...},5,35,1,1,1,7,2,3,1,3
Apache Avro,org.apache.avro,SchemaBuilder.IntDefault,11,0,0,0,4,0,3,0,3,0
Apache Avro,org.apache.avro,JsonSchemaFormatter,11,0,0,0,4,0,2,0,2,0
Apache Avro,org.apache.avro,Conversions.UUIDConversion,55,0,0,0,14,0,8,0,8,0
Apache Avro,org.apache.avro,SchemaParser,214,0,12,0,46,0,22,0,16,0
Apache Avro,org.apache.avro,SchemaValidationException,21,0,0,0,5,0,3,0,3,0
Apache Avro,org.apache.avro,JsonProperties,213,104,25,9,36,24,24,12,8,11
Apache Avro,org.apache.avro,Conversion,182,0,0,0,27,0,27,0,27,0
Apache Avro,org.apache.avro,Protocol.Message,164,0,14,0,46,0,20,0,13,0
Apache Avro,org.apache.avro,Schema.NamedSchema,79,101,14,10,16,25,11,14,3,10
Apache Avro,org.apache.avro,SchemaCompatibility.SchemaIncompatibilityType,39,0,0,0,3,0,1,0,1,0
Apache Avro,org.apache.avro,SchemaBuilder.BytesBuilder,17,0,0,0,5,0,4,0,4,0
Apache Avro,org.apache.avro,AvroRemoteException,40,0,4,0,12,0,7,0,5,0
Apache Avro,org.apache.avro,UnresolvedUnionException,44,0,2,0,12,0,6,0,5,0
Apache Avro,org.apache.avro,Schema.Type,0,101,0,0,0,6,0,3,0,3
Apache Avro,org.apache.avro,SchemaBuilder.BooleanDefault,11,0,0,0,4,0,3,0,3,0
Apache Avro,org.apache.avro,SchemaBuilder.MapDefault,10,0,0,0,4,0,3,0,3,0
Apache Avro,org.apache.avro,Resolver.RecordAdjust,222,0,22,0,47,0,14,0,3,0
Apache Avro,org.apache.avro,ValidateCanBeRead,7,0,0,0,3,0,2,0,2,0
Apache Avro,org.apache.avro,Schema.IntSchema,0,4,0,0,0,2,0,1,0,1
Apache Avro,org.apache.avro,JsonProperties.2.new AbstractSet() {...},5,11,0,0,1,2,1,2,1,2
Apache Avro,org.apache.avro,Schema.EnumSchema,104,98,20,10,24,19,13,10,3,5
Apache Avro,org.apache.avro,Schema.Field,39,224,18,18,10,47,17,22,1,20
Apache Avro,org.apache.avro,SchemaBuilder.NameContext,201,0,18,0,46,0,17,0,8,0
Apache Avro,org.apache.avro,SchemaFormatterFactory,29,0,2,0,6,0,3,0,2,0
Apache Avro,org.apache.avro,InvalidAvroMagicException,4,0,0,0,2,0,1,0,1,0
Apache Avro,org.apache.avro,Schema.Parser,129,121,8,6,26,32,13,8,7,7
Apache Avro,org.apache.avro,SchemaBuilder.FieldAssembler,211,0,0,0,32,0,25,0,25,0
Apache Avro,org.apache.avro,Resolver.Container,10,0,0,0,3,0,1,0,1,0
Apache Avro,org.apache.avro,SchemaCompatibility.SchemaCompatibilityResult,165,0,20,0,40,0,21,0,11,0
Apache Avro,org.apache.avro,ValidateLatest,22,0,2,0,8,0,3,0,2,0
Apache Avro,org.apache.avro,SchemaCompatibility.SchemaPairCompatibility,116,0,10,0,18,0,14,0,9,0
Apache Avro,org.apache.avro,SchemaBuilder.FloatDefault,11,0,0,0,4,0,3,0,3,0
Apache Avro,org.apache.avro,SchemaBuilder.MapCompletion,8,0,0,0,3,0,2,0,2,0
Apache Avro,org.apache.avro,SchemaParseException,4,4,0,0,2,2,1,1,1,1
Apache Avro,org.apache.avro,Schema.Name,96,71,24,8,20,17,18,5,3,4
Apache Avro,org.apache.avro,SchemaBuilder.SchemaCompletion,2,0,0,0,1,0,1,0,1,0
Apache Avro,org.apache.avro,SchemaBuilder.StringBldr,17,0,0,0,5,0,4,0,4,0
Apache Avro,org.apache.avro,LogicalTypes.LocalTimestampNanos,13,4,2,0,4,2,2,1,1,1
Apache Avro,org.apache.avro,AvroTypeException,0,9,0,0,0,4,0,2,0,2
Apache Avro,org.apache.avro,UnknownAvroCodecException,4,0,0,0,2,0,1,0,1,0
Apache Avro,org.apache.avro,Resolver.DoNothing,7,0,0,0,2,0,1,0,1,0
Apache Avro,org.apache.avro,SystemLimitException,218,71,29,5,43,26,22,6,5,6
Apache Avro,org.apache.avro,ValidateAll,23,0,2,0,7,0,3,0,2,0
Apache Avro,org.apache.avro,JsonProperties.2.1.new Iterator() {...},5,17,0,0,1,3,1,2,1,2
Apache Avro,org.apache.avro,SchemaBuilder.BytesDefault,19,0,0,0,6,0,5,0,5,0
Apache Avro,org.apache.avro,Schema.BooleanSchema,0,4,0,0,0,2,0,1,0,1
Apache Avro,org.apache.avro,LogicalTypes,174,75,24,2,70,19,38,3,19,3
Apache Avro,org.apache.avro,ParseContext,102,323,23,21,18,73,24,19,6,15
Apache Avro,org.apache.avro,SchemaBuilder.ArrayBuilder,38,0,0,0,8,0,5,0,5,0
Apache Avro,org.apache.avro,SchemaValidatorBuilder,55,0,2,0,16,0,9,0,8,0
Apache Avro,org.apache.avro,SchemaBuilder.TypeBuilder,11,0,0,0,4,0,3,0,3,0
Apache Avro,org.apache.avro,SchemaBuilder.IntBuilder,17,0,0,0,5,0,4,0,4,0
Apache Avro,org.apache.avro,SchemaFormatter,61,0,10,0,11,0,7,0,2,0
Apache Avro,org.apache.avro,Schema.ArraySchema,59,10,10,0,14,4,8,2,3,2
Apache Avro,org.apache.avro,Protocol,1147,0,118,0,241,0,102,0,43,0
Apache Avro,org.apache.avro,Resolver.Action.Type,57,0,0,0,2,0,1,0,1,0
Apache Avro,org.apache.avro,Schema.LockableArrayList,48,45,0,2,17,15,8,7,8,6
Apache Avro,org.apache.avro,LogicalTypes.TimeMicros,13,4,2,0,4,2,2,1,1,1
Apache Avro,org.apache.avro,SchemaBuilder.EnumBuilder,45,0,0,0,10,0,5,0,5,0
Apache Avro,org.apache.avro,LogicalTypes.LogicalTypeFactory,5,0,0,0,1,0,1,0,1,0
Apache Avro,org.apache.avro,SchemaBuilder,126,0,4,0,29,0,13,0,11,0
Apache Avro,org.apache.avro,Protocol.TwoWayMessage,120,0,10,0,28,0,13,0,8,0
Apache Avro,org.apache.avro,SchemaBuilder.LongDefault,11,0,0,0,4,0,3,0,3,0
Apache Avro,org.apache.avro,SchemaBuilder.NullBuilder,17,0,0,0,5,0,4,0,4,0
Apache Avro,org.apache.avro,SchemaBuilder.FieldDefault,25,0,0,0,7,0,4,0,4,0
Apache Avro,org.apache.avro,Schema.StringSchema,0,4,0,0,0,2,0,1,0,1
Apache Avro,org.apache.avro,LogicalTypes.TimestampMicros,13,4,2,0,4,2,2,1,1,1
Apache Avro,org.apache.avro,SchemaBuilder.BaseFieldTypeBuilder,209,0,2,0,29,0,24,0,23,0
Apache Avro,org.apache.avro,SchemaBuilder.ArrayCompletion,8,0,0,0,3,0,2,0,2,0
Apache Avro,org.apache.avro,SchemaBuilder.FloatBuilder,17,0,0,0,5,0,4,0,4,0
Apache Avro,org.apache.avro,Schema,952,1097,152,96,197,221,145,84,39,54
Apache Avro,org.apache.avro,SchemaBuilder.MapBuilder,38,0,0,0,8,0,5,0,5,0
Apache Avro,org.apache.avro,ValidateMutualRead,36,0,2,0,11,0,4,0,3,0
