Line,Severity,Rule,Message
422,MAJOR,java:S6355,"Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
446,MAJOR,java:S6355,"Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
462,MAJOR,java:S6355,"Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
474,MAJOR,java:S6355,"Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
1035,MAJOR,java:S6355,"Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
1057,MAJOR,java:S6355,"Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
1150,MAJOR,java:S6355,"Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
1200,MAJOR,java:S6355,"Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
1240,MAJOR,java:S6355,"Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
1318,MAJOR,java:S6355,"Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
1363,MAJOR,java:S6355,"Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
179,CRITICAL,java:S1192,"Define a constant instead of duplicating this literal 'fields' 3 times."
179,CRITICAL,java:S1192,"Define a constant instead of duplicating this literal 'namespace' 4 times."
183,CRITICAL,java:S1192,"Define a constant instead of duplicating this literal 'default' 6 times."
447,INFO,java:S1133,"Do not forget to remove this deprecated code someday."
447,MAJOR,java:S1123,"Add the missing @deprecated Javadoc tag."
463,INFO,java:S1133,"Do not forget to remove this deprecated code someday."
463,MAJOR,java:S1123,"Add the missing @deprecated Javadoc tag."
475,INFO,java:S1133,"Do not forget to remove this deprecated code someday."
475,MAJOR,java:S1123,"Add the missing @deprecated Javadoc tag."
507,CRITICAL,java:S1192,"Define a constant instead of duplicating this literal 'order' 3 times."
867,MAJOR,java:S1066,"Merge this if statement with the enclosing one."
1036,INFO,java:S1133,"Do not forget to remove this deprecated code someday."
1036,MAJOR,java:S1123,"Add the missing @deprecated Javadoc tag."
1058,INFO,java:S1133,"Do not forget to remove this deprecated code someday."
1058,MAJOR,java:S1123,"Add the missing @deprecated Javadoc tag."
1151,INFO,java:S1133,"Do not forget to remove this deprecated code someday."
1151,MAJOR,java:S1123,"Add the missing @deprecated Javadoc tag."
1201,INFO,java:S1133,"Do not forget to remove this deprecated code someday."
1201,MAJOR,java:S1123,"Add the missing @deprecated Javadoc tag."
1241,INFO,java:S1133,"Do not forget to remove this deprecated code someday."
1241,MAJOR,java:S1123,"Add the missing @deprecated Javadoc tag."
1319,INFO,java:S1133,"Do not forget to remove this deprecated code someday."
1319,MAJOR,java:S1123,"Add the missing @deprecated Javadoc tag."
1364,INFO,java:S1133,"Do not forget to remove this deprecated code someday."
1364,MAJOR,java:S1123,"Add the missing @deprecated Javadoc tag."
1705,MAJOR,java:S6355,"Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
1713,MAJOR,java:S6355,"Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
1714,INFO,java:S1133,"Do not forget to remove this deprecated code someday."
1714,MAJOR,java:S1123,"Add the missing @deprecated Javadoc tag."
1731,MAJOR,java:S6355,"Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
1732,INFO,java:S1133,"Do not forget to remove this deprecated code someday."
1732,MAJOR,java:S1123,"Add the missing @deprecated Javadoc tag."
1739,MAJOR,java:S6355,"Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
1740,INFO,java:S1133,"Do not forget to remove this deprecated code someday."
1740,MAJOR,java:S1123,"Add the missing @deprecated Javadoc tag."
1706,INFO,java:S1133,"Do not forget to remove this deprecated code someday."
1706,MAJOR,java:S1123,"Add the missing @deprecated Javadoc tag."
1457,MAJOR,java:S6355,"Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
1458,INFO,java:S1133,"Do not forget to remove this deprecated code someday."
1754,CRITICAL,java:S3776,"Refactor this method to reduce its Cognitive Complexity from 28 to the 15 allowed."
435,MAJOR,java:S6355,"Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
436,INFO,java:S1133,"Do not forget to remove this deprecated code someday."
436,MAJOR,java:S1123,"Add the missing @deprecated Javadoc tag."
217,MAJOR,java:S6355,"Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
179,CRITICAL,java:S1192,"Define a constant instead of duplicating this literal 'aliases' 5 times."
179,CRITICAL,java:S1192,"Define a constant instead of duplicating this literal 'items' 3 times."
179,CRITICAL,java:S1192,"Define a constant instead of duplicating this literal 'values' 3 times."
